,smiles,pki
46,CC1CNc2c(cccc2S(=O)(=O)NC(CCCNC(=N)N)C(=O)N2CCC(C)CC2C(=O)O)C1,8.002176919254275
47,Cc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)NCC1CCC(N)CC1,8.337242168318426
48,CCCN(Cc1ccoc1)C(=O)c1cc(C)cc(OCC2(CON=C(N)N)CC2)c1,8.397940008672037
49,NCCCCC(NC(=O)C1CCCN1C(=O)C(CC1CCCCC1)NCC(=O)O)C(=O)c1nccs1,8.585026652029182
50,CC(C)OC(=O)C(=O)C(CCCCN)NC(=O)C1CCCN1C(=O)C(CC1CCCCC1)NCC(=O)O,8.958607314841775
51,N=C(N)c1cccc(-c2nocc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,5.698970004336019
52,CC(NC(=O)C(CO)NS(=O)(=O)Cc1ccccc1)C(=O)NCc1ccc(C(=N)N)cc1,7.0
53,N=C(N)c1cccc(-c2noc(CO)c2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,5.721246399047171
54,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2conc2-c2cccc(C(=N)N)c2)cc1,6.267606240177032
55,N=C(N)c1cccc(C(=O)NC(C(=O)NCCc2ccccc2)c2ccccc2)c1,5.508638306165727
56,N=C(N)c1cccc(C(=O)NC(C(=O)N2CCC(Cc3ccccc3)CC2)c2ccccc2)c1,5.8696662315049934
57,COc1ccc(CNC(=O)C(NC(=O)c2cccc(C(=N)N)c2)c2ccccc2)cc1,5.638272163982407
58,N=C(N)c1cccc(C(=O)NC(C(=O)N2CCN(Cc3ccccc3)CC2)c2ccccc2)c1,5.100179497572904
59,N=C(N)c1cccc(C(=O)NC(C(=O)N2CCC(C(=O)c3ccc(F)cc3)CC2)c2ccccc2)c1,5.928117992693875
60,N=C(N)c1cccc(C(=O)NC(C(=O)NCC2CCC(CN)CC2)c2ccccc2)c1,5.187086643357144
61,N=C(N)c1cccc(C(=O)NC(C(=O)NCc2ccccc2)c2ccccc2)c1,5.070581074285707
62,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)C2=NCCO2)c1Cl,7.045757490560675
63,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccccc2s1,7.769551078621726
64,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2c(s1)CCCC2,8.468521082957745
65,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(C(=O)c1nc2ccccc2s1)C1CCC(N)CC1,6.958607314841775
66,Cc1nccn1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,6.045757490560675
67,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccc(C(=O)O)cc2s1,8.698970004336019
68,CCc1nccn1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,6.045757490560675
69,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccccc2o1,8.207608310501746
70,CNC(Cc1ccccc1)C(=O)NC(C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccccc2s1)C(C)C,7.6777807052660805
71,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2cccc(CN)c2)c(F)c1,5.221848749616356
72,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)N(C)C(CCCN=C(N)N)C(=O)c1nc2ccccc2s1,5.6777807052660805
73,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)c1ccccn1,7.070581074285707
74,CNC(Cc1ccc(F)cc1)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccccc2s1,9.920818753952375
75,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCCN)C(=O)c1nc2ccccc2s1,6.6777807052660805
76,N=C(N)NCCCC(NC(=O)CN1CCCCC(NS(=O)(=O)Cc2ccccc2)C1=O)C(=O)c1nc2ccccc2s1,7.795880017344075
77,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccc(OC)cc2s1,9.853871964321762
78,COc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NC(C(=O)O)c2ccccc2)c(S(=O)(=O)c2ccccc2)cc1OCc1ccccc1,6.267606240177032
79,COc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NC(C(=O)O)c2ccccc2)ccc1OCc1ccccc1,7.455931955649724
80,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(C(=O)c1nc2ccccc2s1)C1CCC(CN)CC1,5.838631997765025
81,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccc(O)cc2s1,9.638272163982407
82,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)c1nc(C(=O)O)cs1,8.040958607678906
83,COc1cc(CNc2ccc(C(=N)N)cc2)ccc1OCc1ccccc1,6.568636235841013
84,N=C(N)NCCCC(NC(=O)C1CCCN1C(=O)CC(c1ccccc1)c1ccccc1)C(=O)c1nc2ccccc2s1,8.67778070526608
85,CNCCCCC(NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC)C(=O)c1nc2ccccc2s1,5.455931955649724
86,COc1cc(-n2ccnc2C)ccc1NC(=O)c1cc(C(F)(F)F)nn1-c1ccc2onc(N)c2c1,6.698970004336019
87,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)c1nc(C(=O)NCCc2ccccc2)cs1,6.920818753952375
88,Cc1nccn1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(C#N)c1,6.045757490560675
89,CNC1(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)c2nc3ccccc3s2)CCCCC1,7.136677139879544
90,Cn1ccnc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,7.468521082957745
91,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(Cc1cccc(C(=N)N)c1)C(=O)c1nc2ccccc2s1,7.823908740944319
92,Nc1noc2ccc(-n3nc(C(F)(F)F)cc3C(=O)Nc3ccc(-n4ccnc4CN4CCCC4)cc3F)cc12,6.221848749616356
93,COc1ccc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)cc1OC,6.337242168318426
94,CNCCCCC(NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC)C(=O)c1nc2ccccc2s1,5.431798275933005
95,CCOc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)ccc1OCc1ccccc1,7.318758762624412
96,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)c1nc2ccccc2s1,5.1487416512809245
97,CCOc1ccc(CNc2ccc(C(=N)N)cc2)cc1OCC,5.346787486224656
98,COc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)ccc1OCc1ccccc1,7.366531544420414
99,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCOC)C(=O)c1nc2ccccc2s1,5.4089353929735005
100,COc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)c(S(=O)(=O)c2ccccc2)cc1OCc1ccccc1,5.769551078621726
101,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)c1cc2ccccc2s1,5.619788758288394
102,NCc1ccc(Cl)cc1CNC(=O)C1CCCN1C(=O)CO,9.301029995663981
103,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(O)c1nc2ccccc2s1,5.462180904926726
104,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc3ccc(Cl)cc3s2)CC1,5.043831569524636
105,CC(O)(C(=O)N1CCCC1C(=O)NCc1cc(Cl)ccc1CN)c1ccccc1,8.327902142064282
106,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,5.559090917934782
107,NCc1ccc(Cl)cc1CNC(=O)C1CCCN1C(=O)C(O)c1ccccc1,7.096910013008056
108,CC(C)(C1CC1)C(O)C(=O)N1CCC1C(=O)NCc1cc(Cl)ccc1CN,8.431798275933005
